,v1,v2,v3,v4,zr,a,ndt1,ndt2,ndt3,ndt4,sndt,alpha,mean_log_rt,alpha_arc_box,acc_arc_box
v1,,0.8114107356523325,-0.5525383421341983,-0.5722780049992172,-0.4725329758496922,0.0885228134545532,0.017365590527003493,-0.014895490063401975,0.13851682209275934,0.09959685006451964,-0.2643011412697683,0.35923904502734494,-0.2586632563630745,0.33775006133345914,0.590433256926813
v2,0.8114107356523325,,-0.5860184510494723,-0.5506484221499638,-0.518991740817246,0.3021568351559394,-0.041346186114991336,0.03714007891667369,0.2050801123508503,0.1656150718773157,-0.2685700745189929,0.5084058547337763,-0.06254585724783951,0.4867676234349221,0.7297679497599343
v3,-0.5525383421341983,-0.5860184510494723,,0.852226453964144,0.06054241139322083,-0.17221907925466823,-0.042138485766723494,-0.1081539167881182,-0.12918936636253814,-0.07520242189261868,0.18322185756770068,-0.35309243237960963,0.15922284050668745,-0.3348706213030366,-0.6478479222777352
v4,-0.5722780049992172,-0.5506484221499638,0.852226453964144,,-0.009487746482461496,-0.12510771154541983,-0.0209853479784844,-0.08823576115735722,-0.038042147994201136,-0.11583384493081089,0.1852991113650095,-0.2956585176027931,0.24307245611917006,-0.3048321381278787,-0.5785779433784053
zr,-0.4725329758496922,-0.518991740817246,0.06054241139322083,-0.009487746482461496,,-0.25536782059486035,0.009348347162358174,0.04826412528633273,-0.4473544934222952,-0.4363859657711747,0.08827831600288574,-0.4510653585536763,-0.17966867367013567,-0.4547279825360062,-0.4221074157405213
a,0.0885228134545532,0.3021568351559394,-0.17221907925466823,-0.12510771154541983,-0.25536782059486035,,0.1146755361459572,0.1168018266218288,0.2989700517042953,0.29971933281290897,-0.25474163854821863,0.6472103476393046,0.84123371888156,0.695112311907375,0.7542553323642008
ndt1,0.017365590527003493,-0.041346186114991336,-0.042138485766723494,-0.0209853479784844,0.009348347162358174,0.1146755361459572,,0.8908223962838627,0.7098262694154368,0.7130644182238381,0.17744372632740188,0.15537344280043977,0.44247693830911916,0.1418513476311868,0.055055781824857215
ndt2,-0.014895490063401975,0.03714007891667369,-0.1081539167881182,-0.08823576115735722,0.04826412528633273,0.1168018266218288,0.8908223962838627,,0.6910552873943697,0.6753710371432898,0.23184647811288098,0.15095581850806794,0.4210887712387949,0.11256034885089584,0.0702786939315976
ndt3,0.13851682209275934,0.2050801123508503,-0.12918936636253814,-0.038042147994201136,-0.4473544934222952,0.2989700517042953,0.7098262694154368,0.6910552873943697,,0.9032141396556522,0.17099543342239157,0.44272167722282396,0.5988583361739488,0.37187297093751764,0.30923063113854593
ndt4,0.09959685006451964,0.1656150718773157,-0.07520242189261868,-0.11583384493081089,-0.4363859657711747,0.29971933281290897,0.7130644182238381,0.6753710371432898,0.9032141396556522,,0.12422093164056598,0.42154692072533484,0.6087303149716988,0.39875223651097125,0.3163151583323133
sndt,-0.2643011412697683,-0.2685700745189929,0.18322185756770068,0.1852991113650095,0.08827831600288574,-0.25474163854821863,0.17744372632740188,0.23184647811288098,0.17099543342239157,0.12422093164056598,,-0.48194422906978196,-0.0025151206060697174,-0.5117150287562924,-0.41266235007022367
alpha,0.35923904502734494,0.5084058547337763,-0.35309243237960963,-0.2956585176027931,-0.4510653585536763,0.6472103476393046,0.15537344280043977,0.15095581850806794,0.44272167722282396,0.42154692072533484,-0.48194422906978196,,0.4602861533662463,0.9453648861793622,0.7211161440830287
mean_log_rt,-0.2586632563630745,-0.06254585724783951,0.15922284050668745,0.24307245611917006,-0.17966867367013567,0.84123371888156,0.44247693830911916,0.4210887712387949,0.5988583361739488,0.6087303149716988,-0.0025151206060697174,0.4602861533662463,,0.4856130213477039,0.41785620742664675
alpha_arc_box,0.33775006133345914,0.4867676234349221,-0.3348706213030366,-0.3048321381278787,-0.4547279825360062,0.695112311907375,0.1418513476311868,0.11256034885089584,0.37187297093751764,0.39875223651097125,-0.5117150287562924,0.9453648861793622,0.4856130213477039,,0.7738965250607988
acc_arc_box,0.590433256926813,0.7297679497599343,-0.6478479222777352,-0.5785779433784053,-0.4221074157405213,0.7542553323642008,0.055055781824857215,0.0702786939315976,0.30923063113854593,0.3163151583323133,-0.41266235007022367,0.7211161440830287,0.41785620742664675,0.7738965250607988,
