v1,v2,v3,v4,zr,a,ndt1,ndt2,ndt3,ndt4,sndt,alpha,mean_log_rt,alpha_arc_box,acc_arc_box
,0.8123893378970478,-0.6439929870954005,-0.6660512162074509,0.0041020637742186766,0.25083254550626594,0.24581005589162794,0.135226377913229,0.1161287486595101,0.21084663710572774,-0.36038431069779453,0.42196839522699425,-0.07104888757697454,0.4350296343510842,0.691433322787546
0.8123893378970478,,-0.6482685593229024,-0.6420980682804236,-0.014520795058189272,0.2636917271209778,0.17176848775886405,0.23481069474165256,0.14300758879753303,0.2282950268910489,-0.2530669218973538,0.4143987136797798,-0.06061128903941454,0.40679886093859774,0.6740648142868091
-0.6439929870954005,-0.6482685593229024,,0.8448221282765721,-0.3606499768223541,-0.17902161852378914,-0.19068017138275822,-0.10882867065926725,-0.029458164101685943,-0.04177185003720823,0.37613304076518667,-0.4549675600517983,0.19810481263076948,-0.4288543135789058,-0.6403421487837744
-0.6660512162074509,-0.6420980682804236,0.8448221282765721,,-0.44533754520454283,-0.3048780761676733,-0.20054930030500628,-0.11349511396922535,0.035830801512856766,-0.08120966035732453,0.4450860139707055,-0.49156996698471916,0.0856579015382247,-0.45439622740000973,-0.7191305437314387
0.0041020637742186766,-0.014520795058189272,-0.3606499768223541,-0.44533754520454283,,0.2017296912586117,0.24007878124858156,0.12072862610002902,-0.10967063600148423,-0.1111002432907624,-0.2099966249814737,0.4225227616961887,0.08994234904501693,0.32938071655057505,0.28516685670288966
0.25083254550626594,0.2636917271209778,-0.17902161852378914,-0.3048780761676733,0.2017296912586117,,0.36590202703330327,0.2914858323077783,0.15966834948816283,0.22191262898245634,-0.2605999122017871,0.6605178137237827,0.8105133226782971,0.7077201963673742,0.7919678762549416
0.24581005589162794,0.17176848775886405,-0.19068017138275822,-0.20054930030500628,0.24007878124858156,0.36590202703330327,,0.9183719685781028,0.7580434281685607,0.7705279225336251,0.11038124161135436,0.40705574789674553,0.6200673028797918,0.35700588401887007,0.31821040309039683
0.135226377913229,0.23481069474165256,-0.10882867065926725,-0.11349511396922535,0.12072862610002902,0.2914858323077783,0.9183719685781028,,0.759910277934684,0.7613144924092848,0.2684461177049488,0.3139907405429915,0.5940036412202189,0.2940089604636532,0.23092124046165963
0.1161287486595101,0.14300758879753303,-0.029458164101685943,0.035830801512856766,-0.10967063600148423,0.15966834948816283,0.7580434281685607,0.759910277934684,,0.8864327989848285,0.3450129665863312,0.17115212468378044,0.5028400002104944,0.12471790452886858,0.09489919693770839
0.21084663710572774,0.2282950268910489,-0.04177185003720823,-0.08120966035732453,-0.1111002432907624,0.22191262898245634,0.7705279225336251,0.7613144924092848,0.8864327989848285,,0.2837041063776845,0.16585113559874412,0.562630143258307,0.1847584241506366,0.19483307980870856
-0.36038431069779453,-0.2530669218973538,0.37613304076518667,0.4450860139707055,-0.2099966249814737,-0.2605999122017871,0.11038124161135436,0.2684461177049488,0.3450129665863312,0.2837041063776845,,-0.4073429060216462,0.05835199193253934,-0.49944565966243953,-0.48191492488904975
0.42196839522699425,0.4143987136797798,-0.4549675600517983,-0.49156996698471916,0.4225227616961887,0.6605178137237827,0.40705574789674553,0.3139907405429915,0.17115212468378044,0.16585113559874412,-0.4073429060216462,,0.4201067675241933,0.9502225338079372,0.7090541948677437
-0.07104888757697454,-0.06061128903941454,0.19810481263076948,0.0856579015382247,0.08994234904501693,0.8105133226782971,0.6200673028797918,0.5940036412202189,0.5028400002104944,0.562630143258307,0.05835199193253934,0.4201067675241933,,0.45873894931381576,0.4379766583183153
0.4350296343510842,0.40679886093859774,-0.4288543135789058,-0.45439622740000973,0.32938071655057505,0.7077201963673742,0.35700588401887007,0.2940089604636532,0.12471790452886858,0.1847584241506366,-0.49944565966243953,0.9502225338079372,0.45873894931381576,,0.7853982755006721
0.691433322787546,0.6740648142868091,-0.6403421487837744,-0.7191305437314387,0.28516685670288966,0.7919678762549416,0.31821040309039683,0.23092124046165963,0.09489919693770839,0.19483307980870856,-0.48191492488904975,0.7090541948677437,0.4379766583183153,0.7853982755006721,
