,Average MI (bits),Ratio to Max (%),Standard Deviation,Min MI,Max MI
v1_mean,0.8787136798659521,100.0,0.07572144716148928,0.7628156277811106,0.9644632565804871
v2_mean,0.6374097871285274,72.53896254645362,0.0862527139599771,0.4942627977693352,0.6994762138884552
a_mean,0.5276291608083497,60.045629526200116,0.015932066619607405,0.5158505365514499,0.5545220793181789
alpha_mean,0.2730363681036676,31.072279214467148,0.044867338312394645,0.22653207750665094,0.32270214500055516
alpha_mean_boxcox_after_arcsin,0.259294504191648,29.508417830846046,0.07181427390789613,0.19353036357506734,0.34033714892716826
ndt_mean,0.2537076504694023,28.872618724691467,0.034643323423876105,0.1980958151933649,0.2922221366922448
