k,Raw MI (bits),p (Raw MI),CMI All (bits),p (All),Ret All (%),CMI Thresh (bits),p (Thresh),Ret Thresh (%),CMI NDT (bits),p (NDT),Ret NDT (%)
3,0.582,0.0010,0.179,0.0020,30.8,0.249,0.0010,42.7,0.249,0.0010,42.7
5,0.563,0.0010,0.165,0.0010,29.3,0.299,0.0010,53.2,0.211,0.0010,37.5
7,0.510,0.0010,0.105,0.0010,20.7,0.345,0.0010,67.6,0.243,0.0010,47.6
10,0.601,0.0010,0.087,0.0010,14.5,0.295,0.0010,49.1,0.223,0.0010,37.0
