Condition,Mean Test R2,Std Test R2,Mean Test MAE,Std Test MAE,Mean Test RMSE,Std Test RMSE,Imp_alpha_s1,ImpStd_alpha_s1,Imp_a_mean_s1,ImpStd_a_mean_s1,Imp_a_mean_s2,ImpStd_a_mean_s2,Imp_ndt_mean_s1,ImpStd_ndt_mean_s1,Imp_ndt_mean_s2,ImpStd_ndt_mean_s2
All_Controls,0.4388,0.1433,0.1214,0.0168,0.1477,0.0214,0.4807,0.0473,0.0489,0.0093,0.1379,0.0194,0.0540,0.0061,0.2924,0.0401
Threshold_Only,0.4338,0.1357,0.1255,0.0299,0.1504,0.0318,0.8374,0.0948,0.1230,0.0219,0.1948,0.0378,,,,
NDT_Only,0.3537,0.2206,0.1257,0.0177,0.1568,0.0268,0.6489,0.0682,,,,,0.1280,0.0190,0.3799,0.0622
Alpha_Only,0.3461,0.1932,0.1303,0.0304,0.1612,0.0361,0.9610,0.1198,,,,,,,,
