k,Raw MI (bits),p (Raw MI),CMI All (bits),p (All),Ret All (%),CMI Thresh (bits),p (Thresh),Ret Thresh (%),CMI NDT (bits),p (NDT),Ret NDT (%)
3,0.002,0.4795,0.159,0.0050,7710.6,-0.071,0.6603,-3471.9,0.098,0.1638,4762.2
5,0.075,0.2388,0.136,0.0020,181.2,0.056,0.0629,74.0,0.123,0.0230,164.0
7,0.073,0.1878,0.101,0.0050,138.1,0.042,0.0250,58.0,0.144,0.0060,197.3
8,0.051,0.2358,0.068,0.0010,133.3,0.042,0.0180,81.1,0.131,0.0180,255.4
10,0.069,0.1139,0.045,0.0020,64.9,0.049,0.0160,70.6,0.127,0.0030,184.0
