Condition,Mean Test R2,Std Test R2,Mean Test MAE,Std Test MAE,Mean Test RMSE,Std Test RMSE,Imp_alpha_s1,ImpStd_alpha_s1,Imp_a_s1,ImpStd_a_s1,Imp_a_s2,ImpStd_a_s2,Imp_ndt1_s1,ImpStd_ndt1_s1,Imp_ndt1_s2,ImpStd_ndt1_s2,Imp_ndt2_s1,ImpStd_ndt2_s1,Imp_ndt2_s2,ImpStd_ndt2_s2,Imp_ndt3_s1,ImpStd_ndt3_s1,Imp_ndt3_s2,ImpStd_ndt3_s2,Imp_ndt4_s1,ImpStd_ndt4_s1,Imp_ndt4_s2,ImpStd_ndt4_s2
All_Controls_APT,0.5099,0.1034,0.1013,0.0123,0.1297,0.0154,0.2602,0.0353,0.2602,0.0353,0.0018,0.0008,0.4370,0.0450,0.0144,0.0049,0.0249,0.0050,0.0257,0.0066,0.0181,0.0063,0.0166,0.0046,0.0011,0.0004,0.0170,0.0039
Threshold_Only_APT,0.5389,0.0675,0.0980,0.0164,0.1277,0.0235,0.3604,0.0484,0.3604,0.0484,0.0634,0.0116,,,,,,,,,,,,,,,,
NDT_Only_APT,0.4189,0.2001,0.1055,0.0073,0.1382,0.0120,0.6601,0.0830,,,,,0.6601,0.0830,0.0096,0.0036,0.0096,0.0028,0.0474,0.0120,0.0302,0.0067,0.0282,0.0049,0.0624,0.0110,0.0301,0.0072
Alpha_Only_APT,0.4115,0.1313,0.1065,0.0111,0.1422,0.0208,1.0107,0.1296,,,,,,,,,,,,,,,,,,,,
