Condition,Mean Test R2,Std Test R2,Mean Test MAE,Std Test MAE,Mean Test RMSE,Std Test RMSE,Imp_alpha_s1,ImpStd_alpha_s1,Imp_a_mean_s1,ImpStd_a_mean_s1,Imp_a_mean_s2,ImpStd_a_mean_s2,Imp_ndt_mean_s1,ImpStd_ndt_mean_s1,Imp_ndt_mean_s2,ImpStd_ndt_mean_s2
All_Controls,0.6118,0.0421,0.1194,0.0047,0.1697,0.0062,0.4694,0.0135,0.0400,0.0033,0.1894,0.0109,0.0243,0.0034,0.3199,0.0110
Threshold_Only,0.5167,0.0532,0.1339,0.0049,0.1893,0.0074,0.7325,0.0230,0.1867,0.0119,0.2519,0.0203,,,,
NDT_Only,0.5443,0.0496,0.1275,0.0057,0.1839,0.0073,0.8334,0.0295,,,,,0.1169,0.0087,0.3766,0.0142
Alpha_Only,0.4487,0.0797,0.1449,0.0069,0.2020,0.0110,0.9985,0.0417,,,,,,,,
