,Average MI (bits),Standard Deviation,Min MI,Max MI
v2_mean,1.0240820752466089,0.13134958268675617,0.8606665131866239,1.1659110999145545
a_mean,0.9502800116691804,0.04207261910027286,0.9012319909810577,1.0003074744452294
v1_mean,0.8332308026207446,0.021183267462113523,0.8046729437081869,0.8546675546202578
alpha_mean_boxcox_after_arcsin,0.570941367718916,0.07645742920933622,0.4771312303390788,0.6382303965658466
alpha_mean,0.501406823333125,0.07613440255711731,0.4323496628447025,0.608854657165374
zr_mean,0.4317888862682515,0.06511600774664435,0.33981484844538457,0.49342208410743293
ndt_mean,0.275854507057407,0.05561997415949026,0.2161313664929476,0.32693882201364144
