k,Raw MI (bits),p (Raw MI),CMI All (bits),p (All),Ret All (%),CMI Thresh (bits),p (Thresh),Ret Thresh (%),CMI NDT (bits),p (NDT),Ret NDT (%)
5,0.902,0.0010,0.259,0.0010,28.7,0.386,0.0010,42.8,0.659,0.0010,73.1
10,0.930,0.0010,0.233,0.0010,25.0,0.402,0.0010,43.3,0.613,0.0010,65.9
20,0.965,0.0010,0.205,0.0010,21.2,0.369,0.0010,38.3,0.555,0.0010,57.6
25,0.959,0.0010,0.184,0.0010,19.2,0.355,0.0010,37.0,0.535,0.0010,55.8
28,0.950,0.0010,0.176,0.0010,18.5,0.348,0.0010,36.6,0.526,0.0010,55.4
30,0.952,0.0010,0.173,0.0010,18.2,0.346,0.0010,36.3,0.522,0.0010,54.9
