k,Raw MI (bits),p (Raw MI),CMI All (bits),p (All),Ret All (%),CMI Thresh (bits),p (Thresh),Ret Thresh (%),CMI NDT (bits),p (NDT),Ret NDT (%)
3,0.122,0.1668,-0.184,1.0000,-151.1,-0.014,0.5085,-11.3,-0.044,0.3267,-35.8
5,0.088,0.1648,-0.053,0.9890,-60.1,-0.006,0.6823,-6.6,-0.075,0.7912,-84.6
7,0.112,0.0839,-0.013,0.9920,-11.4,-0.041,0.7243,-36.9,-0.066,0.9041,-59.1
9,0.136,0.0290,-0.022,0.9580,-16.6,-0.047,0.8162,-34.8,-0.030,0.7403,-22.3
10,0.146,0.0160,-0.009,0.7353,-5.9,-0.031,0.7832,-21.1,-0.031,0.9351,-21.6
