k,Raw MI (bits),p (Raw MI),CMI All (bits),p (All),Ret All (%),CMI Thresh (bits),p (Thresh),Ret Thresh (%),CMI NDT (bits),p (NDT),Ret NDT (%)
3,0.581,0.0010,0.233,0.0010,40.0,0.320,0.0010,55.1,0.412,0.0010,70.8
5,0.589,0.0010,0.203,0.0010,34.6,0.307,0.0010,52.1,0.406,0.0010,68.9
7,0.594,0.0010,0.184,0.0010,30.9,0.296,0.0010,49.8,0.399,0.0010,67.1
10,0.594,0.0010,0.158,0.0010,26.7,0.259,0.0010,43.7,0.392,0.0010,65.9
28,0.584,0.0010,0.117,0.0010,20.1,0.191,0.0010,32.8,0.308,0.0010,52.8
