,3,5,7,10,Average,Ratio to Max
v1_mean,0.7628156277811106,0.9644632565804871,0.9217386982667523,0.8658371368354583,0.8787136798659521,100.0
v2_mean,0.4942627977693352,0.6689292540077338,0.6994762138884552,0.6869708828485854,0.6374097871285274,72.53896254645362
a_mean,0.5545220793181789,0.5158505365514499,0.5194367371237993,0.5207072902399704,0.5276291608083497,60.045629526200116
alpha_mean,0.32270214500055516,0.3005060726034222,0.24240517730404196,0.22653207750665094,0.2730363681036676,31.072279214467148
alpha_mean_boxcox_after_arcsin,0.34033714892716826,0.30715152765595566,0.19615897660840076,0.19353036357506734,0.259294504191648,29.508417830846046
ndt_mean,0.1980958151933649,0.26831809602904355,0.2922221366922448,0.256194553962956,0.2537076504694023,28.872618724691467
