,Average MI (bits),MI Ratio (%),Correlation (r),R-squared,Corr Ratio (%),MI p-value,Corr p-value
v1_mean,0.9274934464688991,100.0,0.7198687893885592,0.5182110739357498,100.0,0.000999000999000999,1.0516785091275548e-17
v2_mean,0.7323923683480854,78.96469469799582,0.6032903032186738,0.3639591899576794,83.80559236789462,0.000999000999000999,1.538453931529062e-11
a_mean,0.691289613475738,74.53309951758442,0.6718137562394171,0.4513337230725149,93.3244733127048,0.000999000999000999,7.971451534929346e-15
ndt_mean,0.35119223925404097,37.86465991658273,0.43609208324219384,0.19017630506651653,60.57938469767537,0.000999000999000999,4.13450255148707e-06
zr_mean,0.17473915601583712,18.839934306931678,0.4076560058658144,0.1661834191184689,56.62920963861602,0.001998001998001998,1.920394328588174e-05
alpha_mean,0.10353749125174427,11.16315070968171,0.22873020870450364,0.05231750837400579,31.773874916675034,0.03796203796203796,0.020129475645374022
alpha_mean_boxcox_after_arcsin,0.08766188958252419,9.451483448887494,0.19964651199400715,0.039858729751373244,27.73373633319796,0.029970029970029972,0.04319020468070803
