,Average MI (bits),MI Ratio (%),Correlation (r),R-squared,Corr Ratio (%),MI p-value,Corr p-value
v2_mean,1.070732777679002,100.0,0.7969370310408889,0.6351086314442667,99.50695176238999,0.000999000999000999,4.603911983371444e-24
v1_mean,0.8253139210190943,77.07935520645071,0.8008857842855781,0.6414180394707255,100.0,0.000999000999000999,1.88239453165043e-24
alpha_mean_boxcox_after_arcsin,0.5822718172288968,54.38068483259393,0.6963891865293268,0.4849578991149775,86.95237201026531,0.000999000999000999,2.256178685738097e-16
alpha_mean,0.5730686459591143,53.52116400147378,0.6952810491836923,0.4834157373539759,86.81400804284603,0.000999000999000999,2.6318395512910024e-16
a_mean,0.3861624819276014,36.06525269214931,0.5363527103905491,0.28767422994328823,66.96993765084706,0.000999000999000999,4.40493192834891e-09
ndt_mean,0.20111032595566203,18.782494582037856,0.448551372437439,0.2011983337155101,56.00690900482952,0.007992007992007992,1.7942918367137779e-06
