,Average MI (bits),MI Ratio (%),Correlation (r),R-squared,Corr Ratio (%),MI p-value,Corr p-value
v1_mean,0.8787136798659521,100.0,0.7565123121947382,0.5723108785022291,100.0,0.000999000999000999,2.4477426624030237e-20
v2_mean,0.6374097871285274,72.53896254645362,0.6590233698888593,0.4343118020596683,87.11337003583576,0.000999000999000999,3.798537687607373e-14
a_mean,0.5276291608083497,60.045629526200116,0.5683963257521739,0.3230743831285714,75.13378389086411,0.000999000999000999,3.7838877871597815e-10
alpha_mean,0.2730363681036676,31.072279214467148,0.3795652180072871,0.14406975472091937,50.17303907534833,0.002997002997002997,7.67941365977365e-05
alpha_mean_boxcox_after_arcsin,0.259294504191648,29.508417830846046,0.48478697183929015,0.2350184080651087,64.0818350243186,0.008991008991008992,2.112183388524712e-07
ndt_mean,0.2537076504694023,28.872618724691467,0.35527722023873515,0.12622190322056273,46.96251660571535,0.001998001998001998,0.0002309003765186882
